content_key|is_list|locale|language|text
escala__beck_bdi2__item_1__answer_0|false||Español|No estoy desalentado respecto del mi futuro.
commons__form__labels__last_name|false||Español|Apellido
escala__beck_bdi2__item_0__answer_0|false||Español|No me siento triste.
escala__beck_bdi2__item_0__answer_1|false||Español|Me siento triste gran parte del tiempo
escala__beck_bdi2__item_0__answer_2|false||Español|Me siento triste todo el tiempo.
escala__beck_bdi2__item_0__answer_3|false||Español|Me siento tan triste o soy tan infeliz que no puedo soportarlo.
escala__beck_bdi2__item_1__answer_1|false||Español|Me siento más desalentado respecto de mi futuro que lo que solía estarlo.
escala__beck_bdi2__item_1__answer_2|false||Español|No espero que las cosas funcionen para mi.
escala__beck_bdi2__item_1__answer_3|false||Español|Siento que no hay esperanza para mi futuro y que sólo puede empeorar.
escala__beck_bdi2__item_2__answer_0|false||Español|No me siento como un fracasado.
escala__beck_bdi2__item_2__answer_1|false||Español|He fracasado más de lo que hubiera debido.
escala__beck_bdi2__item_2__answer_2|false||Español|Cuando miro hacia atrás, veo muchos fracasos.
escala__beck_bdi2__item_2__answer_3|false||Español|Siento que como persona soy un fracaso total.
escala__beck_bdi2__item_3__answer_0|false||Español|Obtengo tanto placer como siempre por las cosas de las que disfruto.
escala__beck_bdi2__item_3__answer_1|false||Español|No disfruto tanto de las cosas como solía hacerlo.
escala__beck_bdi2__item_3__answer_2|false||Español|Obtengo muy poco placer de las cosas que solía disfrutar.
escala__beck_bdi2__item_3__answer_3|false||Español|No puedo obtener ningún placer de las cosas de las que solía disfrutar.
escala__beck_bdi2__item_4__answer_0|false||Español|No me siento particularmente culpable.
escala__beck_bdi2__item_4__answer_1|false||Español|Me siento culpable respecto de varias cosas que he hecho o que debería haber hecho.
escala__beck_bdi2__item_4__answer_2|false||Español|Me siento bastante culpable la mayor parte del tiempo.
escala__beck_bdi2__item_4__answer_3|false||Español|Me siento culpable todo el tiempo.
escala__beck_bdi2__item_5__answer_0|false||Español|No siento que este siendo castigado
escala__beck_bdi2__item_5__answer_1|false||Español|Siento que tal vez pueda ser castigado.
escala__beck_bdi2__item_5__answer_2|false||Español|Espero ser castigado.
escala__beck_bdi2__item_5__answer_3|false||Español|Siento que estoy siendo castigado.
escala__beck_bdi2__item_6__answer_0|false||Español|Siento acerca de mi lo mismo que siempre.
escala__beck_bdi2__item_6__answer_1|false||Español|He perdido la confianza en mí mismo.
escala__beck_bdi2__item_6__answer_2|false||Español|Estoy decepcionado conmigo mismo.
escala__beck_bdi2__item_6__answer_3|false||Español|No me gusto a mí mismo.
escala__beck_bdi2__item_7__answer_0|false||Español|No me critico ni me culpo más de lo habitual
escala__beck_bdi2__item_7__answer_1|false||Español|Estoy más crítico conmigo mismo de lo que solía estarlo
escala__beck_bdi2__item_7__answer_2|false||Español|Me critico a mí mismo por todos mis errores
escala__beck_bdi2__item_7__answer_3|false||Español|Me culpo a mí mismo por todo lo malo que sucede.
escala__beck_bdi2__item_8__answer_0|false||Español|No tengo ningún pensamiento de matarme.
escala__beck_bdi2__item_8__answer_1|false||Español|He tenido pensamientos de matarme, pero no lo haría
escala__beck_bdi2__item_8__answer_2|false||Español|Querría matarme
escala__beck_bdi2__item_8__answer_3|false||Español|Me mataría si tuviera la oportunidad de hacerlo.
escala__beck_bdi2__item_9__answer_0|false||Español|No lloro más de lo que solía hacerlo.
escala__beck_bdi2__item_9__answer_1|false||Español|Lloro más de lo que solía hacerlo
escala__beck_bdi2__item_9__answer_2|false||Español|Lloro por cualquier pequeñez.
escala__beck_bdi2__item_9__answer_3|false||Español|Siento ganas de llorar pero no puedo.
escala__beck_bdi2__item_10__answer_0|false||Español|No estoy más inquieto o tenso que lo habitual.
escala__beck_bdi2__item_10__answer_1|false||Español|Me siento más inquieto o tenso que lo habitual.
escala__beck_bdi2__item_10__answer_2|false||Español|Estoy tan inquieto o agitado que me es difícil quedarme quieto
escala__beck_bdi2__item_10__answer_3|false||Español|Estoy tan inquieto o agitado que tengo que estar siempre en movimiento o haciendo algo
escala__beck_bdi2__item_11__answer_0|false||Español|No he perdido el interés en otras actividades o personas.
escala__beck_bdi2__item_11__answer_1|false||Español|Estoy menos interesado que antes en otras personas o cosas.
escala__beck_bdi2__item_11__answer_2|false||Español|He perdido casi todo el interés en otras personas o cosas.
escala__beck_bdi2__item_11__answer_3|false||Español|Me es difícil interesarme por algo.
escala__beck_bdi2__item_12__answer_0|false||Español|Tomo mis propias decisiones tan bien como siempre.
escala__beck_bdi2__item_12__answer_1|false||Español|Me resulta más difícil que de costumbre tomar decisiones
escala__beck_bdi2__item_12__answer_2|false||Español|Encuentro mucha más dificultad que antes para tomar decisiones.
escala__beck_bdi2__item_12__answer_3|false||Español|Tengo problemas para tomar cualquier decisión.
escala__beck_bdi2__item_13__answer_0|false||Español|No siento que yo no sea valioso
escala__beck_bdi2__item_13__answer_1|false||Español|No me considero a mi mismo tan valioso y útil como solía considerarme
escala__beck_bdi2__item_13__answer_2|false||Español|Me siento menos valioso cuando me comparo con otros.
