content_key|is_list|locale|language|text
escala__beck_bdi2__item_1__answer_0|False||Español|I am not discouraged about my future.
commons__form__labels__last_name|False||Español|Surname
escala__beck_bdi2__item_0__answer_0|False||Español|I don&#39;t feel sad.
escala__beck_bdi2__item_0__answer_1|False||Español|I feel sad most of the time
escala__beck_bdi2__item_0__answer_2|False||Español|I feel sad all the time.
escala__beck_bdi2__item_0__answer_3|False||Español|I feel so sad or unhappy that I can&#39;t bear it.
escala__beck_bdi2__item_1__answer_1|False||Español|I feel more discouraged about my future than I used to be.
escala__beck_bdi2__item_1__answer_2|False||Español|I don&#39;t expect things to work out for me.
escala__beck_bdi2__item_1__answer_3|False||Español|I feel like there is no hope for my future and that it can only get worse.
escala__beck_bdi2__item_2__answer_0|False||Español|I don&#39;t feel like a failure.
escala__beck_bdi2__item_2__answer_1|False||Español|I have failed more than I should have.
escala__beck_bdi2__item_2__answer_2|False||Español|When I look back, I see many failures.
escala__beck_bdi2__item_2__answer_3|False||Español|I feel that as a person I am a total failure.
escala__beck_bdi2__item_3__answer_0|False||Español|I get as much pleasure as ever from the things I enjoy.
escala__beck_bdi2__item_3__answer_1|False||Español|I don&#39;t enjoy things as much as I used to.
escala__beck_bdi2__item_3__answer_2|False||Español|I get very little pleasure from things that I used to enjoy.
escala__beck_bdi2__item_3__answer_3|False||Español|I can&#39;t get any pleasure from the things that I used to enjoy.
escala__beck_bdi2__item_4__answer_0|False||Español|I don&#39;t feel particularly guilty.
escala__beck_bdi2__item_4__answer_1|False||Español|I feel guilty about various things that I have done or should have done.
escala__beck_bdi2__item_4__answer_2|False||Español|I feel pretty guilty most of the time.
escala__beck_bdi2__item_4__answer_3|False||Español|I feel guilty all the time.
escala__beck_bdi2__item_5__answer_0|False||Español|I don&#39;t feel like I&#39;m being punished
escala__beck_bdi2__item_5__answer_1|False||Español|I feel like maybe I can be punished.
escala__beck_bdi2__item_5__answer_2|False||Español|I hope to be punished.
escala__beck_bdi2__item_5__answer_3|False||Español|I feel like I&#39;m being punished.
escala__beck_bdi2__item_6__answer_0|False||Español|I feel the same about myself as always.
escala__beck_bdi2__item_6__answer_1|False||Español|I have lost confidence in myself.
escala__beck_bdi2__item_6__answer_2|False||Español|I am disappointed in myself.
escala__beck_bdi2__item_6__answer_3|False||Español|I don&#39;t like myself.
escala__beck_bdi2__item_7__answer_0|False||Español|I don&#39;t criticize or blame myself more than usual
escala__beck_bdi2__item_7__answer_1|False||Español|I&#39;m more critical of myself than I used to be
escala__beck_bdi2__item_7__answer_2|False||Español|I criticize myself for all my mistakes
escala__beck_bdi2__item_7__answer_3|False||Español|I blame myself for everything bad that happens.
escala__beck_bdi2__item_8__answer_0|False||Español|I have no thought of killing myself.
escala__beck_bdi2__item_8__answer_1|False||Español|I&#39;ve had thoughts of killing myself, but I wouldn&#39;t
escala__beck_bdi2__item_8__answer_2|False||Español|I would like to kill myself
escala__beck_bdi2__item_8__answer_3|False||Español|It would kill me if I had the chance to do it.
escala__beck_bdi2__item_9__answer_0|False||Español|I don&#39;t cry any more than I used to.
escala__beck_bdi2__item_9__answer_1|False||Español|I cry more than I used to
escala__beck_bdi2__item_9__answer_2|False||Español|I cry for any little thing.
escala__beck_bdi2__item_9__answer_3|False||Español|I feel like crying but I can&#39;t.
escala__beck_bdi2__item_10__answer_0|False||Español|I am not more restless or tense than usual.
escala__beck_bdi2__item_10__answer_1|False||Español|I feel more restless or tense than usual.
escala__beck_bdi2__item_10__answer_2|False||Español|I am so restless or agitated that it is difficult for me to stay still
escala__beck_bdi2__item_10__answer_3|False||Español|I am so restless or agitated that I have to always be on the move or doing something
escala__beck_bdi2__item_11__answer_0|False||Español|I have not lost interest in other activities or people.
escala__beck_bdi2__item_11__answer_1|False||Español|I am less interested than before in other people or things.
escala__beck_bdi2__item_11__answer_2|False||Español|I have lost almost all interest in other people or things.
escala__beck_bdi2__item_11__answer_3|False||Español|It is difficult for me to be interested in something.
escala__beck_bdi2__item_12__answer_0|False||Español|I make my own decisions as well as ever.
escala__beck_bdi2__item_12__answer_1|False||Español|I find it more difficult than usual to make decisions
escala__beck_bdi2__item_12__answer_2|False||Español|I find it much more difficult than before to make decisions.
escala__beck_bdi2__item_12__answer_3|False||Español|I have trouble making any decisions.
escala__beck_bdi2__item_13__answer_0|False||Español|I don&#39;t feel like I&#39;m not valuable
escala__beck_bdi2__item_13__answer_1|False||Español|I don&#39;t consider myself as valuable and useful as I used to consider myself
escala__beck_bdi2__item_13__answer_2|False||Español|I feel less valuable when I compare myself to others.
escala__beck_bdi2__item_13__answer_3|False||Español|I feel like I&#39;m worthless.
escala__beck_bdi2__item_14__answer_0|False||Español|I have as much energy as ever.
escala__beck_bdi2__item_14__answer_1|False||Español|I have less energy than I used to have.
escala__beck_bdi2__item_14__answer_2|False||Español|I don&#39;t have enough energy to do too much
escala__beck_bdi2__item_14__answer_3|False||Español|I don&#39;t have enough energy to do anything.
escala__beck_bdi2__item_15__answer_0|False||Español|I have not experienced any change in my sleeping habits.
escala__beck_bdi2__item_15__answer_1|False||Español|I sleep a little more than usual.
escala__beck_bdi2__item_15__answer_2|False||Español|I sleep a little less than usual.
escala__beck_bdi2__item_15__answer_3|False||Español|I sleep much more than usual.
escala__beck_bdi2__item_15__answer_4|False||Español|I sleep much less than usual
escala__beck_bdi2__item_15__answer_5|False||Español|I sleep most of the day
escala__beck_bdi2__item_15__answer_6|False||Español|I wake up 1-2 hours earlier and can&#39;t go back to sleep
